#label	id	#tags	bgsl_curator_meta
melibiose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G66481II		"{""keep"": true, ""suggested_class"": ""3B""}"
nLc4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G58896AZ		"{""keep"": true, ""suggested_class"": ""1A""}"
nLc6	https://api.glycosmos.org/wurcs2image/latest/png/binary/G84034JH		"{""keep"": true, ""suggested_class"": ""1A""}"
panose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G44612JM		"{""keep"": true, ""suggested_class"": ""3B""}"
primeverose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G82276DL		"{""keep"": true, ""suggested_class"": ""3B""}"
rutinose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G68857PG		"{""keep"": true}"
sialyl-Lea	https://api.glycosmos.org/wurcs2image/latest/png/binary/G16258KS		"{""keep"": true, ""suggested_class"": ""1A""}"
T Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00031MO		"{""keep"": true, ""suggested_class"": ""1A""}"
core 1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00031MO		"{""keep"": true, ""suggested_class"": ""1A""}"
core 2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00033MO		"{""keep"": true, ""suggested_class"": ""1A""}"
core 3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00035MO		"{""keep"": true, ""suggested_class"": ""1A""}"
core 4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00037MO		"{""keep"": true, ""suggested_class"": ""1A""}"
core 5	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00039MO		"{""keep"": true, ""suggested_class"": ""1A""}"
core 6	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00041MO		"{""keep"": true, ""suggested_class"": ""1A""}"
core 7	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00043MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis b	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00048MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis x	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00051MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis y	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00052MO		"{""keep"": true, ""suggested_class"": ""1A""}"
i Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00058MO		"{""keep"": true, ""suggested_class"": ""1A""}"
2-3 Sialylparagloboside	https://api.glycosmos.org/wurcs2image/latest/png/binary/G01767JJ		"{""keep"": true, ""suggested_class"": ""2A""}"
GD1 alpha(Pentasaccharide)	https://api.glycosmos.org/wurcs2image/latest/png/binary/G02149VR		"{""keep"": true, ""suggested_class"": ""1A""}"
GT1a alpha	https://api.glycosmos.org/wurcs2image/latest/png/binary/G02149VR		"{""keep"": true, ""suggested_class"": ""1A""}"
2-6 Sialyl-LacNAc-Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G03509EL		"{""keep"": true, ""suggested_class"": ""2A""}"
Pk Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G06000DZ		"{""keep"": true, ""suggested_class"": ""1A""}"
GD1 alpha	https://api.glycosmos.org/wurcs2image/latest/png/binary/G07394RV		"{""keep"": true, ""suggested_class"": ""1A""}"
6-Sulfo LacNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G13157WZ		"{""keep"": true, ""suggested_class"": ""1B""}"
Heparan Sulfate	https://api.glycosmos.org/wurcs2image/latest/png/binary/G17927IW		"{""keep"": true, ""suggested_class"": ""1A""}"
2-3 Sialyl-Lacto-N-Tetraose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G21066IE		"{""keep"": true, ""suggested_class"": ""2A""}"
Asialo GM1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G21856LC		"{""keep"": true, ""suggested_class"": ""1A""}"
6,6'-Sulfo LacNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G24270KX		"{""keep"": true, ""suggested_class"": ""1B""}"
Acharan Sulfate	https://api.glycosmos.org/wurcs2image/latest/png/binary/G25575JK		"{""keep"": true, ""suggested_class"": ""1A""}"
Delta-Heparan Sulfate	https://api.glycosmos.org/wurcs2image/latest/png/binary/G25575JK		"{""keep"": true, ""suggested_class"": ""1A""}"
Alpha-Galactosyl Epitope	https://api.glycosmos.org/wurcs2image/latest/png/binary/G27798EJ		"{""keep"": true, ""suggested_class"": ""1A""}"
2-9,2-6 Disialyllactosylceramide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G30187JM		"{""keep"": true, ""suggested_class"": ""1A""}"
6,6,6'-Sulfo LacNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G31736BK		"{""keep"": true, ""suggested_class"": ""1B""}"
Monosialyl Gb5	https://api.glycosmos.org/wurcs2image/latest/png/binary/G32254QI		"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis a	https://api.glycosmos.org/wurcs2image/latest/png/binary/G39023AU		"{""keep"": true, ""suggested_class"": ""1A""}"
Galactose 3-O-Sulfate	https://api.glycosmos.org/wurcs2image/latest/png/binary/G40843KY		"{""keep"": true, ""suggested_class"": ""3B""}"
6,6'-Sulfo LacNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G41392LY		"{""keep"": true, ""suggested_class"": ""1B""}"
6,6,6'-Sulfo LacNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G41392LY		"{""keep"": true, ""suggested_class"": ""1B""}"
GQ1b alpha	https://api.glycosmos.org/wurcs2image/latest/png/binary/G54733XO		"{""keep"": true, ""suggested_class"": ""1A""}"
Disialyl I	https://api.glycosmos.org/wurcs2image/latest/png/binary/G54937EM		"{""keep"": true, ""suggested_class"": ""1A""}"
P1 Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G55205ZV		"{""keep"": true, ""suggested_class"": ""1A""}"
I Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G56045WU		"{""keep"": true, ""suggested_class"": ""1A""}"
N-Glycolyl GM2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G56478LD		"{""keep"": true, ""suggested_class"": ""1A""}"
core m2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G56868BH		"{""keep"": true, ""suggested_class"": ""1A""}"
Tn Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G57321FI		"{""keep"": true, ""suggested_class"": ""1A""}"
core 0	https://api.glycosmos.org/wurcs2image/latest/png/binary/G57321FI		"{""keep"": true}"
Fucosyl Asialo-GM1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G57920AK		"{""keep"": true, ""suggested_class"": ""1A""}"
F1 Alpha	https://api.glycosmos.org/wurcs2image/latest/png/binary/G61730RY		"{""keep"": true, ""suggested_class"": ""1A""}"
Bata Galactose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G65889KE		"{""keep"": true, ""suggested_class"": ""2A""}"
2-9,2-6 Disialyllactosylceramide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G72548RZ		"{""keep"": true, ""suggested_class"": ""1A""}"
9-O-Acetyl GD3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G74121RX		"{""keep"": true, ""suggested_class"": ""1A""}"
N-Glycolyl GM3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G75789AR		"{""keep"": true, ""suggested_class"": ""1A""}"
core 8	https://api.glycosmos.org/wurcs2image/latest/png/binary/G76355TG		"{""keep"": true, ""suggested_class"": ""1A""}"
N-Acetyl GM2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G79389NT		"{""keep"": true, ""suggested_class"": ""1A""}"
Forssman Antigen	https://api.glycosmos.org/wurcs2image/latest/png/binary/G80062GG		"{""keep"": true, ""suggested_class"": ""1A""}"
Poly-N-Acetylneuraminic Acid	https://api.glycosmos.org/wurcs2image/latest/png/binary/G80631ZD		"{""keep"": true, ""suggested_class"": ""1B""}"
Keratan Sulfate	https://api.glycosmos.org/wurcs2image/latest/png/binary/G82109MW		"{""keep"": true, ""suggested_class"": ""1A""}"
2-6 Sialylparagloboside	https://api.glycosmos.org/wurcs2image/latest/png/binary/G83513YI		"{""keep"": true, ""suggested_class"": ""2A""}"
N-Glycolyl GD3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G84891DZ		"{""keep"": true, ""suggested_class"": ""1A""}"
core m1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G85856KC		"{""keep"": true, ""suggested_class"": ""1A""}"
N-Acetyl GM3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G91237TK		"{""keep"": true, ""suggested_class"": ""1A""}"
Fucosyl GM1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G91532KA		"{""keep"": true, ""suggested_class"": ""1A""}"
Poly-N-Glycolylneuraminic Acid	https://api.glycosmos.org/wurcs2image/latest/png/binary/G95717TY		"{""keep"": true, ""suggested_class"": ""1B""}"
core m3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G97041TX		"{""keep"": true, ""suggested_class"": ""1A""}"
Disialyl Gb5	https://api.glycosmos.org/wurcs2image/latest/png/binary/G97932OH		"{""keep"": true, ""suggested_class"": ""1A""}"
N-Acetyl GD3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G98544DH		"{""keep"": true, ""suggested_class"": ""1A""}"
