Glycan determinant in N- and O-glycans and glycolipids	Trivial name (and reference)a	bgsl_curator_meta
GalNAcα1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	Forssman glycolipid	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	para-Forssman glycolipid	"{""keep"": true, ""suggested_class"": ""1A""}"
Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	Blood group H (type 4)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group H - type 4 chain""}"
Galα1-3(Fucα1-2)Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	Blood group B (type 4)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group B - type 4 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	Blood group A (type 4)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A - type 4 chain""}"
NeuAcα2-3Galβ1-Cer	GM4	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-4Glcβ1-Cer	GM3	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-8NeuAcα2-3Galβ1-4Glcβ1-Cer	GD3	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-8NeuAcα2-8NeuAcα2-3Galβ1-4Glcβ1-Cer	GT3	"{""keep"": true, ""suggested_class"": ""1A""}"
9-O-NeuAcα2-8NeuAcα2-3Galβ1-4Glcβ1-Cer	9-O-Acetyl GD3	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-4(NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GD2	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-4(NeuAcα2-3)Galβ1-4Glcβ1-Cer	GM2	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-4(NeuGcα2-3)Galβ1-4Glcβ1-Cer	N-Glycolyl-GM2	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-4(NeuAcα2-3)Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Sialopentaosylceramide	"{""keep"": true, ""suggested_class"": ""1B""}"
Galβ1-3GalNAcβ1-4(NeuAcα2-3)Galβ1-4Glcβ1-Cer	GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-Cer	Asialo-GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-Cer	cisGM1 (GM1b)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""cisGM1""}"
Fucα1-2Galβ1-3GalNAcβ1-4(NeuAcα2-3)Galβ1-4Glcβ1-Cer	2-Fucosyl-GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
Galα1-3(Fucα1-2)Galβ1-3GalNAcβ1-4(NeuAcα2-3)Galβ1-4Glcβ1-Cer	B-GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
Fucα1-2Galβ1-3GalNAcβ1-4(NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	2-Fucosyl-GD1b	"{""keep"": true, ""suggested_class"": ""1A""}"
Galα1-3(Fucα1-2)Galβ1-3GalNAcβ1-4(NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	B-GD1b	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Description: Blood group B on ganglioside GD1b""}"
NeuAcα2-8NeuAcα2-3Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-Cer	GD1 (GD1c)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GD1""}"
NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcβ1-4Galβ1-4Glcβ1-Cer	GD1α	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GD1alpha""}"
NeuAcα2-3Galβ1-3GalNAcβ1-4(NeuAcα2-3)Galβ1-4Glcβ1-Cer	GD1a	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-3GalNAcβ1-4(NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GD1b	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-4(NeuAcα2-8NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GT2	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-8NeuAcα2-3Galβ1-3GalNAcβ1-4(NeuAcα2-3)Galβ1-4Glcβ1-Cer	GT1a	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcβ1-4(NeuAcα2-3)Galβ1-4Glcβ1-Cer	GT1aα	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3GalNAcβ1-4(NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GT1b	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-3GalNAcβ1-4(NeuAcα2-8NeuAcα2-8NeuAcα2-3)Galβ1-4Glcβ1-Cer	GT1c	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-8NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcβ1-4(NeuAcα2-3)Galβ1-4Glcβ1-Cer	GQ1aα	"{""keep"": true, ""suggested_class"": ""1A""}"
