lbl,gsd_id
panose,None
primeverose,None
rutinose,None
core 5,None
core 6,None
core 7,None
GD1 alpha pentasaccharide,None
GD1 alpha,None
2-3 sialyl-lacto-N-tetraose,None
"6,6'-sulfo LacNAc",None
acharan sulfate,None
delta-heparan sulfate,None
"2-9,2-6 disialyllactosylceramide",None
core 0,None
fucosyl asialo-GM1,None
F1 alpha,None
N-glycolyl GM3,None
core 8,None
poly-N-acetylneuraminic acid,None
2-6 sialylparagloboside,None
N-glycolyl GD3,None
N-acetyl GM3,None
poly-N-glycolylneuraminic acid,None
N-acetyl GD3,None
Lewis y (extended) / hexasaccharide,None
O-mannosyl glycan / mammalian,None
O-mannosyl glycan / yeast,None
O-fucose glycan / EGF repeat,None
O-fucose glycan / thrombospondin type 1 repeat,None
blood group A trisaccharide,None
blood group A type 1 (difucosyl),None
blood group A type 2 (difucosyl),None
chondroitin sulfate D,None
beta 1-6 galactan,None
beta 1-4 galactan,None
mixed-linkage beta glucan,None
blood group H disaccharide,None
arabinogalactan type I,None
sialyl 6-sulfo LacNAc,None
Lewis a- Lewis X hybrid antigen,None
Neu5Gc(a2-3)Gal / monosialoganglioside,None
dimeric Lewis a,None
disialyl Lewis c,None
sialyl Lewis c,None
2-6 sialyl i-Lewis x,None
arabinogalactan type II,None
internal Lewis x,None
6-sulfo Lewis x,None
β-linked lactose,None
A1,None
A1G1,None
A2,None
A2[3]G1,None
A2[6]G1,None
A2B,None
A2BG0,None
A2BG1,None
A2BG2,None
A2BG2S1,None
A2BG2S2,None
A2F1,None
A2F1G2S2,None
A2G1,None
A2G2,None
A2G2S1,None
A2G2S2,None
A3,None
A3F1,None
A3F1G3S2,None
A3F1G3S3,None
A3F2G3S3,None
A3G3,None
A3G3S2,None
A3G3S3,None
A4,None
A4F1,None
A4F1G4,None
A4F1G4S4,None
A4G4,None
A4G4S1,None
A4G4S2,None
A4G4S3,None
A4G4S4,None
FA1,None
FA1G1,None
FA2,None
FA2[3]BG1,None
FA2[3]G1,None
FA2[3]G1S1,None
FA2[6]BG1,None
FA2[6]G1,None
FA2B,None
FA2BG2,None
FA2BG2S1,None
FA2BG2S2,None
FA2F1G2S2,None
FA2G1,None
FA2G1S1,None
FA2G2,None
FA2G2S1,None
FA2G2S2,None
FA3,None
FA3B,None
FA3F1G3S3,None
FA3G3,None
FA3G3S3,None
FA4,None
FA4F1G4S4,None
FA4G4,None
FA4G4S4,None
G0-N,None
G0B,None
G0F,None
G0FB,None
G1,None
G1F,None
G2,None
G2F,None
G2FS1,None
G2FS2,None
G1M9,None
G2M9,None
M3 (N-glycan),None
M5,None
M6,None
M7,None
M7AB,None
M7AC,None
M8A,None
M8C,None
M8,None
M9,None
