ligand_id	url	label	glycoconjugate_type	aglycon	ligand_types	ligand_synonyms	glycan_references:glytoucan	glycan_references:glyconnect	bgsl_curator_meta
SB0182	https://sugarbind.expasy.org/ligands/182	N-glycan	N-linked glycoprotein	Protein	Sialylated | Fucosylated		G90889KG	1077	"{""keep"": true, ""suggested_class"": ""3A""}"
SB0183	https://sugarbind.expasy.org/ligands/183	N-glycan	N-linked glycoprotein	Protein	Sialylated		G28330DZ	1187	"{""keep"": true, ""suggested_class"": ""3A""}"
SB0186	https://sugarbind.expasy.org/ligands/186	3'-sialyl-N-acetyllactosamine(1-3) (3'SLN, 3'SiaLacNAc(1-3))			Sialylated	3'SiaLacNAc(1-3)	G59168YE		"{""keep"": true, ""suggested_class"": ""2A""}"
SB0187	https://sugarbind.expasy.org/ligands/187	Galactose (Gal)			Glycotope		G65889KE		"{""keep"": true, ""suggested_class"": ""3B""}"
SB0188	https://sugarbind.expasy.org/ligands/188	Gg4Cer II3-sulfate (SM1a)	Glycosphingolipid	Ceramide	Sulfated		G59508TM		"{""keep"": true}"
SB0189	https://sugarbind.expasy.org/ligands/189	Sialyllacto-N-tetraose b (LSTb)	Glycosphingolipid	Ceramide	Sialylated		G32417JV		"{""keep"": true}"
SB0190	https://sugarbind.expasy.org/ligands/190	NA2F			Fucosylated		G00998NI	1860	"{""keep"": true, ""suggested_class"": ""2D""}"
SB0191	https://sugarbind.expasy.org/ligands/191	Mannotriose					G28528AG		"{""keep"": true}"
SB0192	https://sugarbind.expasy.org/ligands/192	Glucose (D-Glucose, Glc)			Glycotope	D-Glucose	G15021LG	534	"{""keep"": true, ""suggested_class"": ""3B""}"
SB0193	https://sugarbind.expasy.org/ligands/193	B-GM1	Glycosphingolipid	Ceramide	Sialylated | Fucosylated | ABH blood group		G11485ID		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0194	https://sugarbind.expasy.org/ligands/194	Extended GM1	Glycosphingolipid	Ceramide	Sialylated		G03506YN		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0195	https://sugarbind.expasy.org/ligands/195	Galactose beta1 (Gal beta1)			Glycotope		G68158BT		"{""keep"": true}"
SB0196	https://sugarbind.expasy.org/ligands/196	alpha-oligomannoside (dimannoside)	N-linked glycoprotein	Protein	High-mannose	dimannoside	G29313LW	915	"{""keep"": true}"
SB0197	https://sugarbind.expasy.org/ligands/197	alpha-oligomannoside	N-linked glycoprotein	Protein			G07490EK		"{""keep"": true}"
SB0198	https://sugarbind.expasy.org/ligands/198	alpha-oligomannoside	N-linked glycoprotein	Protein			G51379UR	747	"{""keep"": true}"
SB0199	https://sugarbind.expasy.org/ligands/199	Lewis y (Ley-6)	Glycosphingolipid	Ceramide	Fucosylated | Lewis blood group		G89659QV		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0200	https://sugarbind.expasy.org/ligands/200	Lewis x (Lex-5)	Glycosphingolipid	Ceramide	Fucosylated | Lewis blood group		Glytoucan : -		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0202	https://sugarbind.expasy.org/ligands/202	LSTc pentasaccharide			Sialylated		G72506RN	1871	"{""keep"": true}"
SB0203	https://sugarbind.expasy.org/ligands/203	Blood group A type 2 tetrasaccharide			Fucosylated | ABH blood group		G17108EX		"{""keep"": true, ""suggested_class"": ""1A""}"
