bgsl_id	term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
GSD:a1a1cc4d-4f8d-4a6e-9745-406d21d24b2c	Boivinose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:1631d080-5dbb-5950-a0da-474aeb12d32d	cellobiose						3B	G55560AP			EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME	
GSD:998dcbee-4911-42b2-be98-e12384077827	cellotriose						3B	G50026IZ			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME	
GSD:86e21b58-6304-4d77-b0e9-d5b71bf43400	Chacotriose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:f0a9fa70-53f0-4ec5-b6cf-4ca2da4bcc2f	Chalcose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:78cf4467-4e94-41de-b821-1c9eceb2738e	Chitobios						3B	G07982RO			SUGARBIND; PUBDICT_GLYCAN_MOTIF	In many other species, splitting of the chitobiose linkage (GlcNAcβ1-4GlcNAc) uses the β-N-acetylhexosaminidase, mentioned below, as the last step in degradation.
GSD:8756b00b-9dcc-514c-a965-d339f8ec93b2	chitobiose						3B				EOG_VARKI_4E	In many other species, splitting of the chitobiose linkage (GlcNAcβ1-4GlcNAc) uses the β-N-acetylhexosaminidase, mentioned below, as the last step in degradation.
GSD:7ba01715-f8fa-4655-8606-088c21be8354	Cladinose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:4837ded6-77de-43a0-9026-bce3cf8c1258	Colitose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:84f5d6f4-9732-471e-a8fe-002cdf08f426	Cymarose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:a3e35647-4831-4811-9e3a-ce2dfdded65f	D-Fucitol						3B				PUBDICT_GLYCONAVI_NAME	
GSD:7c9fd02e-f3d8-4b63-a6a2-a6e1f9818376	D-Galactosaminitol						3B				PUBDICT_GLYCONAVI_NAME	
GSD:bb556452-d1a5-426b-834f-e9f1871e1692	Daunosamine						3B				PUBDICT_GLYCONAVI_NAME	
GSD:e366a55a-9b0e-4d92-bdb2-47cd1c4d0ec6	Desosamine						3B				PUBDICT_GLYCONAVI_NAME	
GSD:6f1bee5a-4792-5ca8-b631-f32c4052b8c5	di-N-acetylbacillosamine		diNAcBac				3B				EOG_VARKI_4E	This alternate pathway has been thoroughly characterized in Neisseria species, in which multiple proteins (including pilin) are glycosylated with an oligosaccharide containing diNAcBac (or variants such as glyceramidoacetamidotrideoxyhexose or diacetamidodideoxyglucopyranose) at the reducing end, the same carbohydrate attached to Asn residues by the C. jejuni N-glycosylation pathway.
GSD:477bfb4c-d07c-4bb6-adfd-6acbbb7401f1	Diginose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:03979a5c-83de-4944-9222-1d8a92a92665	Digitalose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:d1e9e244-48f6-4a50-b8b0-9c6bd8185f9e	Digitoxose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:0ba75e91-ae2c-4918-ae2c-c263c2aaae16	Disialylactose		DiSai				3B	G97569KL			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:6536eb1b-a001-4bb6-b355-e0ea386177d2	Erythrose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:19e938c8-f830-4fa2-8f0b-e614122028db	Erythrulose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:af4b5c58-d024-43df-9e83-e0bac3a8762f	Evalose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:4deee574-77a2-48fe-a903-d1047c885c21	Evernitrose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:88e67d02-cfe5-40d2-ae6f-b51fb1cc1bf6	Forosamine						3B				PUBDICT_GLYCONAVI_NAME	
GSD:1edc3d8a-4ae7-4e5b-a98b-cad8f10cfd83	Fructose						3B				PUBDICT_GLYCONAVI_NAME	For example, people who lack fructoaldolase (aldolase B) accumulate fructose-1-phosphate, which ultimately causes ATP depletion and disrupts glycogen metabolism.
GSD:41d30109-ac59-4291-acf8-7ce0ca586956	Fucosamine						3B				PUBDICT_GLYCONAVI_NAME	
GSD:952df30c-5251-4ac1-afbb-b19256ecf82d	Fucose	fucosylation	Fuc		L-Fucose		3B	G82576YO			SUGARBIND; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCONAVI_NAME	GDP-Fuc can also be synthesized directly from fucose.
GSD:a2c78d58-1d1e-5488-972e-60788bd92662	galabiose		Ga2	Digalactoside			3B	G62763GO			EOG_VARKI_4E; SUGARBIND; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:ee211aa3-87b6-4958-bb7e-06438471d06d	Galactosamine						3B				PUBDICT_GLYCONAVI_NAME	Depressing glucosamine production in this way has a pleiotropic effect on glycan assembly because all of the major families contain N-acetylglucosamine or N-acetylgalactosamine.
GSD:a186c9ad-a53a-4f7e-b6d7-5f7b3ef2cd1e	Galactose	galactosylation	Gal				3B	G68158BT; G65889KE; G99053DY			SUGARBIND; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCONAVI_NAME	The most common form of galactosemia is caused by a deficiency of galactose-1-phosphate uridyltransferase (GALT).
GSD:40c3f953-e2a9-4b1e-8b9b-327e63483160	galactose 3-O-sulfate						3B	G40843KY			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:9740cd86-9d72-46da-b1f2-d7688dabe2a3	Galactose beta1		Gal beta1				3B	G68158BT			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
GSD:4ec5e94c-7e3a-400c-9a4f-038973e3ea0f	GalNAc						3B	G39738WL			PUBDICT_GLYCOSMOS	An alternative is a chain composed of LacdiNAc glycan units [-3GalNAcβ1-4GlcNAcβ1-]n generated by the action of a β1-4GalNAc-transferase.
GSD:dd03e32d-f3c9-49cd-ba95-0fe1ea5097a7	Garosamine						3B				PUBDICT_GLYCONAVI_NAME	
GSD:f07d9cd6-64b3-4e29-ab49-b0a5a1f72e31	gellan						3B	G41181BF			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
GSD:3c6b9081-0a89-4271-b241-30e5e8ef0d5d	Gentianose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:28bc06b4-e652-482d-868d-1b2ed75a3f13	gentiobiose						3B	G47329OU			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME	
GSD:ea500bee-b99b-41de-b445-d0a3bf0160e5	Glucosamine						3B				PUBDICT_GLYCONAVI_NAME	Claims that glucosamine improves osteoarthritis symptoms and restores partially the structure of the eroded cushion in the knees are controversial.
GSD:f2c0fcd2-6592-4a89-a39d-7d6c62d776bb	Glucosaminitol						3B				PUBDICT_GLYCONAVI_NAME	
GSD:397a5b93-23bc-4a7c-9bbf-3e109ef9ab6e	Glucose	glucosylation	Glc		D-Glucose		3B	G15021LG			SUGARBIND; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCONAVI_NAME	Glycogen is synthesized by the addition of single glucose units from UDP-Glc, and it is degraded by glycogen phosphorylase.
GSD:a1997812-8d5f-405f-917f-14017c6104c8	Glyceraldehyde						3B				PUBDICT_GLYCONAVI_NAME	Structures of glyceraldehyde and dihydroxyacetone.
GSD:9b14aec8-c2c5-47c6-94c1-8a1caac5c208	Glycerone						3B				PUBDICT_GLYCONAVI_NAME	
GSD:6dde7c33-1a26-40e6-a52b-838a3f363403	GN						3B				PUBDICT_GLYCONAVI_NAME	For example, in the widely used nomenclature of Svennerholm, the ganglioside Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4GlcβCer is designated “GM1” (Figure 11.3).
GSD:02232784-a911-461f-bda4-f3872b6df156	Gulose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:e54d20ff-b236-4f21-87c2-9abe7df5b688	Hamamelose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:b9d45f1a-7328-48c3-8142-a8592e8ea11e	Idose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:f3acff63-a62f-4967-94a7-b58e66a46032	isomaltose						3B	G36281WI			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME	
GSD:e1e28b8f-2e73-48b2-8743-50e713dc0fc1	isopanose						3B	G37117TJ			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME	
GSD:bb88a097-bdf3-47e0-8e70-0ff1d79cd5b8	Kanosamine						3B				PUBDICT_GLYCONAVI_NAME	
GSD:37b50cf6-4bb0-4b14-8405-2be880d215bd	Kansosamine						3B				PUBDICT_GLYCONAVI_NAME	
