term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
chondroitin-6-sulfate	6-sulfated chondroitin sulfate					1A	G34992DF			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
cisGM1	GM1b					1A	G03277YI; G14633CL	GSD000044	GlycoMotif:GGM.000100; GlycoMotif:GDV.000102; GlycoMotif:CCRC.000100	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
core 0						1A	G57321FI			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
core 1	Core 1 / T antigen; core 1 O-glycan; core 1 O-GalNAc glycan; O-Glycan core 1	C1G				1A	G00031MO; G58645HA; G00032MO		GlycoMotif:GGM.001005	PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; EOG_VARKI_4E; GSD_GLYGEN_V0; GLYCOMOTIF_GGM; PUBDICT_MOTIF_GTC	A family of core 1 galactosyltransferases (C1GalTs) exists in Drosophila and the loss of certain members disrupts the nervous system and neuromuscular junctions (NMJ).
core 2	core 2 O-glycan; core 2 O-GalNAc glycan; O-Glycan core 2					1A	G00033MO; G00034MO		GlycoMotif:GGM.001007	PUBDICTIONARIES-GLYCAN-IMAGE; BIOOLIGO; PUBDICT_GLYCOSMOS; EOG_VARKI_4E; GSD_GLYGEN_V0; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	The enzymes responsible for core 2 synthesis are core 2 β1-6 N-acetylglucosaminyltransferases 1, 2, and 3 (GCNT1, GCNT3 and GCNT4).
core 3	core 3 O-glycan; core 3 O-GalNAc glycan; O-Glycan core 3					1A	G00035MO; G00036MO		GlycoMotif:GGM.001009	PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; EOG_VARKI_4E; GSD_GLYGEN_V0; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	Core 3 O-mannose is extended in the ER by an N-acetylglucosaminyltransferase (POMGNT2) that adds a β1-4GlcNAc.
core 4	core 4 O-glycan; core 4 O-GalNAc glycan; O-Glycan core 4					1A	G00037MO; G00038MO		GlycoMotif:GGM.001011	PUBDICTIONARIES-GLYCAN-IMAGE; BIOOLIGO; PUBDICT_GLYCOSMOS; EOG_VARKI_4E; GSD_GLYGEN_V0; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	Less common cores are core 3, in which β1-3GlcNAc is added to O-GalNAc, and core 4, in which core 3 is branched by the addition of β1-6GlcNAc (Table 10.1).
core 5	O-Glycan core 5					1A	G00039MO; G00040MO		GlycoMotif:GGM.001013	PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	
core 6	O-Glycan core 6					1A	G00041MO; G00042MO		GlycoMotif:GGM.001015	PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	
core 7	O-Glycan core 7					1A	G00043MO; G00044MO		GlycoMotif:GGM.001017	PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	
core 8	O-Glycan core 8					1A	G76355TG		GlycoMotif:GGM.001032	PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; GLYCOMOTIF_GGM	
core M1	core M1 O-mannose glycan	M1				1A	G85856KC			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; EOG_VARKI_4E	Core M1 glycans can also be converted to Core M2 O-mannose glycans by the addition of a β1-6GlcNAc to the O-mannose, catalyzed by the N-acetylglucosaminyltransferase MGAT5B.
core M2	core M2 O-mannose glycan	M2				1A	G56868BH			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; EOG_VARKI_4E	Core M1 glycans can also be converted to Core M2 O-mannose glycans by the addition of a β1-6GlcNAc to the O-mannose, catalyzed by the N-acetylglucosaminyltransferase MGAT5B.
core M3	core M3 O-mannose glycan	M3				1A	G97041TX			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS; EOG_VARKI_4E	The core M3 glycans (Figure 13.5) possess key functional properties and have to date been identified only on the mammalian protein α-dystroglycan.
Core type 1 triose						1A				BIOOLIGO	
Core type 2 triose						1A				BIOOLIGO	
Core type 4						1A				BIOOLIGO	
CT/Sda						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
cyclic sialyl 6-sulfo Lewis x						1A	G11148DZ; G80722US; G23322RK; G53231FE	GSD000052	GlycoMotif:GDV.000001; GlycoMotif:CCRC.000023	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Cytolipin R						1A	G57710SU; G19926LY	GSD000053	GlycoMotif:GGM.000083; GlycoMotif:GDV.000063; GlycoMotif:CCRC.000083	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
delta-heparan sulfate						1A	G25575JK; G17927IW			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
dermatan sulfate	beta-Heparin				chondroitin sulfate B; Dermatan L-iduronate	1A	G00019MO	GSD000054		EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	Biosynthesis of chondroitin sulfate/dermatan sulfate involves the polymerization of N-acetylgalactosamine and glucuronic acid units and a series of modification reactions including O-sulfation and epimerization of glucuronic acid to iduronic acid.
Di-Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
dimeric Lewis a	Dimeric Lea	Di-LeA				1A	G21808VY; G82106UN; G06148DR		GlycoMotif:GDV.000025; GlycoMotif:CCRC.000126	PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; CUMMINGS; GLYCOMOTIF_CCRC; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
dimeric Lewis x	dimeric Le(x); Lex-Lex; Lewisx-Lewisx; Le^x-Le^x; di-Lewis x	DimLex^x; diLe(x); Di-Lex			Lewis X–Lewis X	1A	G79535HZ	GSD000058	GlycoMotif:GGM.000031	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV; BIOOLIGO	
Disialogangliotetraosylceramide		GD1a	Disialoganglioside	NeuAc-GD1b; GD1b		1A	G37184KW; G46677TE			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
Disialosyl galactosyl globoside		DSGG			disialosyl globopentaosylceramide	1A	G97932OH			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
disialosyl globopentaosylceramide	Disialosyl Gb5	DSGb5			Disialosyl galactosyl globoside	1A	G97932OH; G75814EP	GSD000060	GlycoMotif:GGM.000082; GlycoMotif:GDV.000093; GlycoMotif:CCRC.000082	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
disialyl Core 2						1A				BIOOLIGO	
disialyl Core 2 with sLex on Core 2						1A				BIOOLIGO	
disialyl Gb5					disialosyl Gn5	1A	G97932OH	GSD000061		GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
disialyl I antigen	disialyl I					1A	G54937EM	GSD000062		GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
disialyl Lewis a	disialyl-Lewis a; disialyl Lea					1A	G93400AK	GSD000063		EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
disialyl Lewis c						1A	G14000ZZ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
disialyl T antigen	di-sialyl T antigen; disialyl-T antigen; disialylated T-antigen					1A	G01614ZM; G65191ST; G84906ML	GSD000064	GlycoMotif:GGM.000014; GlycoMotif:GDV.000092; GlycoMotif:CCRC.000014	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
extended core-1 O-glycan						1A				EOG_VARKI_4E	
Extended GM1						1A	G03506YN			SUGARBIND	
Extended tetrafucosyl-Le						1A	G57142PA		GlycoMotif:GDV.000002	GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
Extended tetrafucosyl-Leb						1A				CUMMINGS	
Extended tetrafucosyl-Leb338						1A	G75811PV		GlycoMotif:CCRC.000124	GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
Extended trifucosyl-Leb						1A				CUMMINGS	
F1 alpha						1A	G61730RY; G21312EA			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Forssman antigen	Forssman glycolipid; Globopentosylceramide; Forssman; Forssmann				Globopentosylceramide	1A	G80062GG; G00064MO; G72565QB		GlycoMotif:GGM.000084; GlycoMotif:GDV.000061; GlycoMotif:CCRC.000084	PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; GSD_GLYGEN_V0; SUGARBIND; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_MOTIF_GTC	The Forssman antigen, first discovered in sheep erythrocytes by John Frederick Forssman, is expressed during embryonic and adult stages in many mammals.
Fuc-gangliotetraosylceramide					H-5-ganglio; Fuc-GgO4	1A	G57920AK			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
fucosyl asialo-GM1						1A	G57920AK			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
fucosyl GM1						1A	G91532KA			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; BIOOLIGO; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Fucosylated A antigen type 5						1A				BIOOLIGO	
Fucosylated B antigen type 5						1A				BIOOLIGO	
fucosylated GL-6	globoH; GL-6 fucosylated				globo H; Globo-H	1A	G98465JN; G83120FP		GlycoMotif:GGM.000078; GlycoMotif:GDV.000008; GlycoMotif:CCRC.000078	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GA1	ganglioside GA1				asialo-GM1	1A	G21856LC			EOG_VARKI_4E; GSD_GLYGEN_V0; BIOOLIGO	SeviL (PDB 6LF2), in mussels, binds to the trisaccharide Galβ1-3GalNAcβ1-4Gal, a component of gangliosides GM1b (Siaα2-3 Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-1Cer) and GA1 (Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-1Cer).
GA2						1A	G90562PB			PUBDICTIONARIES-GLYCAN-IMAGE; BIOOLIGO; PUBDICT_GLYCOSMOS	
Gal(b1-3) globoside						1A	G99053DY			PUBDICT_GLYCAN_MOTIF	
Gala3-type1						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Gala3Lex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
galabiosylceramide	Galabiosylceramide				Digalactosylceramide	1A	G67988RO	GSD000078		GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Galactocerebroside (non-hydroxy fatty acid)						1A				PUBDICT_GLYCONAVI_NAME	
galactosylceramide	galactoceramide; Galactocerebroside	GalCer; Gal-Cer; LC				1A	G65889KE	GSD000079	GlycoMotif:GGM.000061; GlycoMotif:GDV.000053	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	GSLs, such as GalCer, are built on a ceramide lipid moiety that consists of a long-chain amino alcohol (sphingosine) in amide linkage to a fatty acid.
galactosylgloboside						1A	G99053DY			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Galili antigen pentaose						1A				BIOOLIGO	
Galili-tri						1A				BIOOLIGO; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GalNAc Disialyl Lc4						1A	G33532XU			PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GalNAc disialyl Lc4 hexasaccharide						1A	G33532XU	GSD000080		GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE	
GalNAc-GD1a						1A	G92175CL			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Gangliotetraose						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Gangliotetraosylceramide		GgO4; Gg4			asialo-GM1; GA1; Asialo-GM1a	1A	G21856LC; G05357CB			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
Gangliotriaosylceramide		Gg3			Asialo-GM2; GA2; Asialo-GM2a	1A	G90562PB			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
Gangliotriose						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Gb3					Pk antigen; CD77	1A	G00059MO			EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	Some glycolipids are highly enriched in specific cancers (e.g., Gb3/CD77 in Burkitt's lymphoma and GM3, GD2, and GD3 in melanomas) (Figure 47.3).
Gb4	globoside-4				P antigen	1A	G00061MO			EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Gb5		Globopentaosylceramide				1A	G99053DY; G19298OA; G88796WA		GlycoMotif:GGM.000076; GlycoMotif:GDV.000029; GlycoMotif:CCRC.000076	GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; CUMMINGS	
GD1	ganglioside GD1			GD1c		1A	G81983KG; G24638PB	GSD000082	GlycoMotif:GGM.000105; GlycoMotif:GDV.000126; GlycoMotif:CCRC.000105	EOG_VARKI_4E; GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	Mice engineered to lack MAG have many of the same phenotypic changes as mice lacking GM2/GD2 synthase, and biochemical and cell-biological studies showed that the major brain gangliosides GD1a and GT1b are excellent ligands for MAG.
GD1 (GD1c)						1A	G81983KG			PUBDICT_GLYCAN_MOTIF	
GD1 alpha	GD1α					1A	G07394RV			PUBDICTIONARIES-GLYCAN-IMAGE; CUMMINGS; PUBDICT_GLYCOSMOS	
GD1 alpha pentasaccharide						1A	G45714BQ; G07394RV			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF	
GD1a	ganglioside GD1a; GD1alpha				GD1alpha	1A	G46677TE; G45714BQ; G13258LA; G69277LC	GSD000083	GlycoMotif:GGM.000106; GlycoMotif:GGM.000107; GlycoMotif:GDV.000096; GlycoMotif:CCRC.000106	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	Mice engineered to lack MAG have many of the same phenotypic changes as mice lacking GM2/GD2 synthase, and biochemical and cell-biological studies showed that the major brain gangliosides GD1a and GT1b are excellent ligands for MAG.
GD1b	ganglioside GD1b					1A	G37184KW; G97612UN	GSD000084	GlycoMotif:GGM.000108; GlycoMotif:GDV.000031; GlycoMotif:CCRC.000108	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GD1c			GD1			1A	G81983KG		GlycoMotif:GGM.000105	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF	
GD2					NeuAc-GD2	1A	G02657AK; G41759HA	GSD000085	GlycoMotif:GGM.000094; GlycoMotif:GDV.000071; GlycoMotif:CCRC.000094	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	Mice engineered to lack MAG have many of the same phenotypic changes as mice lacking GM2/GD2 synthase, and biochemical and cell-biological studies showed that the major brain gangliosides GD1a and GT1b are excellent ligands for MAG.
GD3						1A	G98544DH; G81928IQ	GSD000086	GlycoMotif:GGM.000091; GlycoMotif:GDV.000127; GlycoMotif:CCRC.000091	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Gg3						1A	G90562PB			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
Gg4	ganglioside Gg4					1A	G21856LC			EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
Gg5						1A	G96834JC			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
GH1c-alpha	GH1calpha; GH1ca	GH1ca				1A	G14091MR; G86139YL		GlycoMotif:GGM.000120; GlycoMotif:GDV.000122; GlycoMotif:CCRC.000120	GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC	
GH1cα						1A	G14091MR; G86139YL			CUMMINGS; PUBDICT_GLYCAN_MOTIF	
GL-6 fucosylated (globoH)						1A	G98465JN			PUBDICT_GLYCAN_MOTIF	
GL-7	GL-7 globoseries ganglioside				SSEA-4 Has related synonym SSEA-4; SSEA-4	1A	G32254QI; G42784QY		GlycoMotif:GGM.000080; GlycoMotif:GDV.000098; GlycoMotif:CCRC.000080	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GlcNAc b(1-2') TF						1A				BIOOLIGO	
GlcNAc(b1-3)Gal(b1-4)GlcNAc						1A	G48117BL			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Globo-A						1A	G37830TX			SUGARBIND	
Globo-H					fucosylated GL-6	1A	G98465JN			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
globoside					P antigen; Gb4	1A	G00061MO	GSD000088	GlycoMotif:GGM.000070; GlycoMotif:GDV.000065	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Globotetraose						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
globotetraosylceramide		Gb4Cer; Gb4			Globoside	1A	G00061MO; G04616ST	GSD000088	GlycoMotif:GGM.000070	GSD_GLYGEN_V0; SUGARBIND; PUBDICT_GLYCAN_MOTIF	
globotriaosylceramide		Gb3; GL3; Gb(3); Gb_3; CTH	ceramide trihexoside; Trihexosylceramide			1A	G00059MO	GSD000089	GlycoMotif:GGM.000068	GSD_GLYGEN_V0; SUGARBIND; PUBDICT_GLYCAN_MOTIF	Some glycolipids are highly enriched in specific cancers (e.g., Gb3/CD77 in Burkitt's lymphoma and GM3, GD2, and GD3 in melanomas) (Figure 47.3).
Globotriose						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
Glucocerebrosides						1A				PUBDICT_GLYCONAVI_NAME	
Glucopsychosine						1A				PUBDICT_GLYCONAVI_NAME	
glucosylceramide	glucoceramide; Glucocerebroside	GlcCer; Glc-Cer	Ceramide monohexoside; CMH			1A	G71142DF	GSD000090	GlycoMotif:GGM.000060	EOG_VARKI_4E; GSD_GLYGEN_V0; SUGARBIND; CUMMINGS; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF	Likewise, glucosylceramide (GlcCer) was first isolated from the spleen of a Gaucher disease patient, where it accumulates.
glycoinositolphospholipids		GIPLs				1A				EOG_VARKI_4E	These include the so-called glycoinositol phospholipids (GIPLs) and lipophosphoglycans (LPGs) of Leishmania.
glycosylceramide						1A				EOG_VARKI_4E	
glycosylinositolphosphorylceramide	glycosylinositolphosphorylceramides	GIPCs				1A				EOG_VARKI_4E	The outer leaflet of the plasma membrane is instead dominated by glycosylinositolphosphorylceramides (GIPCs), lipids that are absent in animals.
GM1	ganglioside GM1; GM1 ganglioside; GM1-ganglioside					1A	G48558GR; G03277YI; G46613JI	GSD000091	GlycoMotif:GGM.000098; GlycoMotif:GDV.000030; GlycoMotif:CCRC.000098	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	For example, in the widely used nomenclature of Svennerholm, the ganglioside Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4GlcβCer is designated “GM1” (Figure 11.3).
GM1a						1A	G48558GR			GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
GM1b	ganglioside GM1b					1A	G03277YI			EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	SeviL (PDB 6LF2), in mussels, binds to the trisaccharide Galβ1-3GalNAcβ1-4Gal, a component of gangliosides GM1b (Siaα2-3 Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-1Cer) and GA1 (Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-1Cer).
GM2	ganglioside GM2				NeuAc-GM2	1A	G79389NT; G61168WC	GSD000092	GlycoMotif:GGM.000095; GlycoMotif:GDV.000069; GlycoMotif:CCRC.000095	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	Mice engineered to lack MAG have many of the same phenotypic changes as mice lacking GM2/GD2 synthase, and biochemical and cell-biological studies showed that the major brain gangliosides GD1a and GT1b are excellent ligands for MAG.
GM3	ganglioside GM3					1A	G91237TK; G56516VH	GSD000093	GlycoMotif:GGM.000090; GlycoMotif:GDV.000108; GlycoMotif:CCRC.000090	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	GM3 is also a precursor for some more complex gangliosides.
GM3(NeuGc)						1A				PUBDICT_GLYCONAVI_NAME	
GM4					Sialylated GalCer	1A	G30207PZ; G77824XV	GSD000094	GlycoMotif:GGM.000089; GlycoMotif:GDV.000113; GlycoMotif:CCRC.000089	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GP1c						1A	G93805MV; G26203DP; G04433GV; G77608BK	GSD000095	GlycoMotif:GGM.000118; GlycoMotif:GDV.000095; GlycoMotif:CCRC.000118	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
