#label	id	bgsl_curator_meta
Disialyl T Antigen	https://glytoucan.org/Structures/Glycans/G01614ZM	"{""keep"": true, ""suggested_class"": ""1A""}"
Di-sialyl T antigen	https://glytoucan.org/Structures/Glycans/G65191ST	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialyl T Antigen	https://glytoucan.org/Structures/Glycans/G84906ML	"{""keep"": true, ""suggested_class"": ""1A""}"
Extended tetrafucosyl-Leb338	https://glytoucan.org/Structures/Glycans/G75811PV	"{""keep"": true, ""suggested_class"": ""1A""}"
Extended tetrafucosyl-Le	https://glytoucan.org/Structures/Glycans/G57142PA	"{""keep"": true, ""suggested_class"": ""1A""}"
F1 Alpha	https://glytoucan.org/Structures/Glycans/G21312EA	"{""keep"": true, ""suggested_class"": ""1A""}"
F1 Alpha	https://glytoucan.org/Structures/Glycans/G61730RY	"{""keep"": true, ""suggested_class"": ""1A""}"
Forssman Antigen	https://glytoucan.org/Structures/Glycans/G80062GG	"{""keep"": true, ""suggested_class"": ""1A""}"
Forssman glycolipid	https://glytoucan.org/Structures/Glycans/G00064MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Forssman glycolipid	https://glytoucan.org/Structures/Glycans/G80062GG	"{""keep"": true, ""suggested_class"": ""1A""}"
Fuc(a1-3)GalNac(b1)	https://glytoucan.org/Structures/Glycans/G57709BH	"{""keep"": true, ""suggested_class"": ""2A""}"
Fuc(a1-3)GalNAc(b1)	https://glytoucan.org/Structures/Glycans/G57709BH	"{""keep"": true, ""suggested_class"": ""2A""}"
Fuc-gangliotetraosylceramide	https://glytoucan.org/Structures/Glycans/G57920AK	"{""keep"": true, ""suggested_class"": ""1A""}"
Fucose	https://glytoucan.org/Structures/Glycans/G82576YO	"{""keep"": true, ""suggested_class"": ""3B""}"
Fucosyl Asialo-GM1	https://glytoucan.org/Structures/Glycans/G57920AK	"{""keep"": true, ""suggested_class"": ""1A""}"
Fucosylated LDN (LDNF)	https://glytoucan.org/Structures/Glycans/G02240AO	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""Fucosylated LDN""}"
Fucosyl GM1	https://glytoucan.org/Structures/Glycans/G91532KA	"{""keep"": true, ""suggested_class"": ""1A""}"
Galabiose	https://glytoucan.org/Structures/Glycans/G62763GO	"{""keep"": true, ""suggested_class"": ""3B""}"
Galabiosylceramide	https://glytoucan.org/Structures/Glycans/G67988RO	"{""keep"": true, ""suggested_class"": ""1A""}"
Galactomannan	https://glytoucan.org/Structures/Glycans/G93424OB	"{""keep"": true, ""suggested_class"": ""1C""}"
Galactose 3-O-Sulfate	https://glytoucan.org/Structures/Glycans/G40843KY	"{""keep"": true, ""suggested_class"": ""3B""}"
Galactose beta1	https://glytoucan.org/Structures/Glycans/G68158BT	"{""keep"": true}"
Galactose	https://glytoucan.org/Structures/Glycans/G65889KE	"{""keep"": true, ""suggested_class"": ""3B""}"
Galactose	https://glytoucan.org/Structures/Glycans/G68158BT	"{""keep"": true, ""suggested_class"": ""3B""}"
Galactosylceramide	https://glytoucan.org/Structures/Glycans/G65889KE	"{""keep"": true, ""suggested_class"": ""1A""}"
Galactosylgloboside	https://glytoucan.org/Structures/Glycans/G99053DY	"{""keep"": true, ""suggested_class"": ""1A""}"
Galalpha1-3Gal epitope	https://glytoucan.org/Structures/Glycans/G00046MO	"{""keep"": true, ""suggested_class"": ""1A""}"
