id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
GGM.000121	Mono-fucosyl LN5	G64227KZ	Mono-fucosyl LN_5	Glycolipid|LacNAc|N-acetyllactosamine	https://glycomotif.glyomics.org/glycomotif/GGM.000121	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.000122	Mono-fucosyl LN3	G65223RT	Mono-fucosyl LN_3	Glycolipid|LacNAc|N-acetyllactosamine	https://glycomotif.glyomics.org/glycomotif/GGM.000122	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.000201	B antigen (type 3)	G88313DY		Blood group B|Blood group type 3	https://glycomotif.glyomics.org/glycomotif/GGM.000201	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000252	Polysialic acid	G77612ZC			https://glycomotif.glyomics.org/glycomotif/GGM.000252	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001001	N-Glycan core basic	G00026MO		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001001	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""N-Glycan core""}"
GGM.001002	N-Glycan high mannose	G00028MO		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001002	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001003	N-Glycan hybrid	G19610CW		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001003	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001004	N-Glycan complex	G35698AZ		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001004	"{""keep"": true, ""suggested_class"": ""1B""}"
GGM.001005	O-Glycan core 1	G00031MO		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001005	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001007	O-Glycan core 2	G00033MO		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001007	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001009	O-Glycan core 3	G00035MO		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001009	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001011	O-Glycan core 4	G00037MO		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001011	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001013	O-Glycan core 5	G00039MO		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001013	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001015	O-Glycan core 6	G00041MO		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001015	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001017	O-Glycan core 7	G00043MO		Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001017	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.001019	O-Mannose	G23707SD		O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001019	"{""keep"": true}"
GGM.001020	O-Fucose	G08324ZK	O-Fucose Core 1|O-Fucose Core Thrombospondin Type 1	O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001020	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""O-Fucose Core Thrombospondin Type 1""}"
GGM.001021	O-Fucose	G85661BQ	O-Fucose Core 2|O-Fucose Core EGF Type	O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001021	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""O-Fucose Core EGF Type""}"
GGM.001022	N-glycan core, truncated	G63560NE		N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001022	"{""keep"": true, ""suggested_class"": ""2B""}"
