id	label	glytoucan_id	aliases	url
GGM.001033	O-Glycan core 8 fuzzy	G09127IA	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001033
GGM.001034	O-Glycan O-GalNAc Core	G39738WL	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001034
GGM.001035	O-Glycan O-Fucose Core	G49112ZN	O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001035
GGM.001036	O-Glycan O-Mannose Core	G76001GO	O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001036
GGM.001037	N-Glycan biantennary	G98414DB	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001037
GGM.001038	N-Glycan triantennary	G59096WE	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001038
GGM.001039	N-Glycan tetraantennary	G33451SJ	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001039
GGM.001040	O-GlcNAc Core EGF Type	G66213AR	O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001040
GGM.001041	N-glycan core, truncated	G59883YF	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001041
GGM.001101	Glycosphingolipid Isoglobo series	G00012MO	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001101
GGM.001102	Glycosphingolipid Muco series	G00013MO	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001102
GGM.001103	Glycosphingolipid Arthro series	G00014MO	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001103
GGM.001104	Glycosphingolipid Mollu series	G00015MO	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001104
GGM.001105	Glycosphingolipid Gala series	G00016MO	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001105
GGM.001106	Glycosphingolipid Lacto series	G00069MO	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001106
GGM.001107	Glycosphingolipid Neo-lacto series	G00070MO	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001107
GGM.001108	Glycosphingolipid Ganglio series	G00071MO	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001108
GGM.001109	Glycosphingolipid Globo series	G99312NX	Glycosphingolipid classification	https://glycomotif.glyomics.org/glycomotif/GGM.001109
GGM.001201	GAG Core 1a	G24334HE	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001201
GGM.001202	GAG Core 1b	G68167JE	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001202
GGM.001203	GAG Core 2a	G47726BP	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001203
GGM.001204	GAG Core 2b	G99404VQ	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001204
GGM.001205	GAG Core 3a	G71799OV	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001205
GGM.001206	GAG Core 3b	G17755DI	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001206
GGM.001207	GAG Core 4a	G20313XP	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001207
GGM.001208	GAG Core 4b	G35577IC	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001208
GGM.001209	GAG Core 5a	G83003HU	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001209
GGM.001210	GAG Core 5b	G09365IF	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001210
GGM.001211	GAG Core 6a	G40737XM	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001211
GGM.001212	GAG Core 6b	G01966AZ	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001212
GGM.001213	GAG Core 7a	G81019IW	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001213
GGM.001214	GAG Core 7b	G58965WY	GAG classification	https://glycomotif.glyomics.org/glycomotif/GGM.001214
